seat_no,paper_1_IA,paper_2_IA,paper_3_IA,paper_4_IA,paper_5_IA,paper_6_IA,paper_7_IA,paper_8_IA,paper_9_IA,paper_10_IA,paper_1_TOT,paper_2_TOT,paper_3_TOT,paper_4_TOT,paper_5_TOT,paper_6_TOT,paper_7_TOT,paper_8_TOT,paper_9_TOT,paper_10_TOT,paper_1_EX,paper_2_EX,paper_3_EX,paper_4_EX,paper_5_EX,paper_6_EX,paper_7_EX,paper_8_EX,paper_9_EX,paper_10_EX
5018249,18.0,16.0,21.0,21.0,40.0,14.0,15.0,12.0,20.0,21.0,46.0,48.0,41.0,43.0,61.0,64.0,67.0,62.0,20.0,21.0,28.0,32.0,28.0,32.0,20.0,50.0,52.0,50.0,22.0,21.0
5018250,10.0,9.0,20.0,19.0,40.0,9.0,8.0,8.0,19.0,20.0,36.0,29.0,39.0,39.0,60.0,53.0,49.0,46.0,19.0,20.0,26.0,20.0,26.0,20.0,19.0,44.0,41.0,38.0,20.0,20.0
5018251,14.0,10.0,21.0,19.0,40.0,16.0,12.0,15.0,19.0,20.0,46.0,42.0,41.0,37.0,60.0,52.0,59.0,55.0,19.0,20.0,32.0,32.0,32.0,32.0,20.0,36.0,47.0,40.0,18.0,20.0
5018252,13.0,14.0,20.0,23.0,44.0,9.0,13.0,11.0,22.0,21.0,47.0,46.0,41.0,45.0,65.0,48.0,46.0,48.0,22.0,21.0,34.0,32.0,34.0,32.0,21.0,39.0,33.0,37.0,22.0,21.0
5018253,17.0,15.0,21.0,21.0,43.0,11.0,15.0,15.0,21.0,21.0,55.0,49.0,43.0,42.0,64.0,34.0,56.0,58.0,21.0,21.0,38.0,34.0,38.0,34.0,22.0,23.0,41.0,43.0,21.0,21.0
5018254,12.0,13.0,20.0,21.0,41.0,11.0,17.0,13.0,20.0,20.0,31.0,45.0,39.0,41.0,61.0,57.0,56.0,50.0,20.0,20.0,19.0,32.0,19.0,32.0,19.0,46.0,39.0,37.0,20.0,20.0
5018255,13.0,15.0,22.0,23.0,41.0,12.0,18.0,12.0,23.0,22.0,28.0,39.0,44.0,45.0,63.0,44.0,50.0,54.0,23.0,22.0,15.0,24.0,15.0,24.0,22.0,32.0,32.0,42.0,22.0,22.0
5018256,5.0,3.0,11.0,12.0,30.0,5.0,3.0,,12.0,11.0,13.0,21.0,11.0,12.0,30.0,27.0,20.0,19.0,12.0,11.0,8.0,18.0,8.0,18.0,0.0,22.0,17.0,19.0,0.0,0.0
5018257,14.0,14.0,21.0,22.0,43.0,15.0,16.0,12.0,22.0,21.0,35.0,33.0,42.0,44.0,65.0,33.0,49.0,45.0,22.0,21.0,21.0,19.0,21.0,19.0,21.0,18.0,33.0,33.0,22.0,22.0
5018258,12.0,13.0,20.0,20.0,40.0,8.0,14.0,11.0,19.0,20.0,30.0,37.0,39.0,41.0,60.0,31.0,46.0,43.0,19.0,20.0,18.0,24.0,18.0,24.0,19.0,23.0,32.0,32.0,21.0,20.0
5018259,16.0,14.0,20.0,20.0,40.0,12.0,17.0,14.0,19.0,20.0,67.0,49.0,40.0,39.0,60.0,55.0,68.0,64.0,19.0,20.0,51.0,35.0,51.0,35.0,20.0,43.0,51.0,50.0,19.0,20.0
5018260,16.0,15.0,22.0,21.0,43.0,17.0,17.0,8.0,21.0,21.0,60.0,64.0,43.0,41.0,65.0,65.0,65.0,53.0,21.0,21.0,44.0,49.0,44.0,49.0,21.0,48.0,48.0,45.0,20.0,22.0
5018261,14.0,16.0,20.0,20.0,40.0,12.0,16.0,12.0,19.0,20.0,46.0,62.0,40.0,39.0,60.0,47.0,62.0,55.0,19.0,20.0,32.0,46.0,32.0,46.0,20.0,35.0,46.0,43.0,19.0,20.0
5018262,13.0,15.0,20.0,19.0,40.0,12.0,16.0,12.0,19.0,20.0,45.0,53.0,39.0,38.0,60.0,61.0,64.0,52.0,19.0,20.0,32.0,38.0,32.0,38.0,19.0,49.0,48.0,40.0,19.0,20.0
5018263,14.0,15.0,22.0,22.0,45.0,13.0,16.0,11.0,22.0,21.0,36.0,53.0,43.0,44.0,68.0,56.0,55.0,43.0,22.0,21.0,22.0,38.0,22.0,38.0,21.0,43.0,39.0,32.0,22.0,23.0
5018264,14.0,14.0,20.0,20.0,40.0,14.0,17.0,11.0,19.0,20.0,50.0,54.0,39.0,40.0,60.0,50.0,59.0,43.0,19.0,20.0,36.0,40.0,36.0,40.0,19.0,36.0,42.0,32.0,20.0,20.0
5018265,15.0,16.0,21.0,21.0,44.0,17.0,17.0,15.0,22.0,21.0,48.0,48.0,42.0,42.0,66.0,65.0,50.0,67.0,22.0,21.0,33.0,32.0,33.0,32.0,21.0,48.0,33.0,52.0,21.0,22.0
5018266,9.0,14.0,20.0,19.0,40.0,9.0,16.0,13.0,19.0,20.0,41.0,50.0,39.0,39.0,60.0,55.0,49.0,51.0,19.0,20.0,32.0,36.0,32.0,36.0,19.0,46.0,33.0,38.0,20.0,20.0
